english,turkish,english_pron,turkish_pron,learned
assistant,asistan,a-sis-tınt,,0
associate,iş arkadaşı,a-so-şey-eyt,,0
association,dernek,a-so-sı-ey-şın,,0
assume,farz etmek,a-sum,,0
assumption,varsayım,a-samp-şın,,0
assure,garanti etmek,a-şur,,0
at,-den,et,,0
athlete,atlet,at-lit,,0
athletic,atletik,at-le-tik,,0
atmosphere,atmosfer,at-mos-fer,,0
attach,eklemek,a-taç,,0
attack,saldırı,a-tak,,0
attempt,girişim,a-tempt,,0
attend,katılmak,a-tend,,0
attention,dikkat,a-ten-şın,,0
attitude,davranış,a-ti-tyud,,0
attorney,avukat,a-tır-ni,,0
attract,cezbetmek,a-trakt,,0
attractive,çekici,a-trak-tiv,,0
attribute,bağlanmak,a-tri-byut,,0
audience,kitle,aw-di-yıns,,0
author,yazar,aw-zır,,0
authority,otorite,aw-zo-ri-ti,,0
auto,otomobil,aw-to,,0
available,mevcut,a-vey-la-bıl,,0
average,ortalama,a-ve-ric,,0
avoid,kaçınmak,a-voyd,,0
award,ödül,a-vord,,0
aware,farkında olmak,a-ver,,0
awareness,farkındalık,a-ver-nıs,,0
away,uzak,a-vey,,0
awful,berbat,aw-fıl,,0
baby,Bebek,bey-bi,,0
back,geri,bek,,0
background,arka plan,bek-graund,,0
bad,kötü,bad,,0
badly,kötü,bad-li,,0
bag,çanta,beg,,0
bake,pişmek,beyk,,0
balance,denge,ba-lans,,0
ball,top,bol,,0
ban,yasaklamak,ben,,0
band,bant,band,,0
bank,banka,bank,,0
bar,çubuk,bar,,0
barely,neredeyse,be-rli,,0
barrel,varil,be-rel,,0
barrier,engel,be-ri-yır,,0
base,temel,,,0
baseball,beyzbol,,,0
basic,temel,,,0
basically,temel olarak,,,0
basis,temel,,,0
basket,sepet,,,0
basketball,basketbol,,,0
bathroom,banyo,,,0
battery,pil,,,0
battle,savaş,,,0
be,olmak,,,0
beach,sahil,,,0
bean,fasulye,,,0
bear,ayı,,,0
beat,vurmak,,,0
beautiful,Güzel,,,0
beauty,güzellik,,,0
because,Çünkü,,,0
become,haline gelmek,,,0
bed,yatak,,,0
bedroom,yatak odası,,,0
beer,bira,,,0
before,önce,,,0
begin,başlamak,,,0
beginning,başlangıç,,,0
behavior,davranış,,,0
behind,arka,,,0
being,yapı,,,0
belief,inanç,,,0
believe,inanmak,,,0
bell,zil,,,0
belong,ait olmak,,,0
below,altında,,,0
belt,kemer,,,0
bench,tezgâh,,,0
bend,bükülmek,,,0
beneath,altında,,,0
benefit,fayda,,,0
beside,yanında,,,0
besides,Ayrıca,,,0
best,en iyi,,,0
bet,bahis,,,0
better,daha iyi,,,0
between,arasında,,,0
beyond,öte,,,0
Bible,İncil,,,0
big,büyük,,,0
bike,bisiklet,,,0
bill,fatura,,,0
billion,milyar,,,0
bind,bağlanmak,,,0
biological,biyolojik,,,0
bird,kuş,,,0
birth,doğum,,,0
birthday,doğum günü,,,0
bit,biraz,,,0
bite,ısırmak,,,0
black,siyah,,,0
blade,bıçak,,,0
blame,suçlamak,,,0
blanket,battaniye,,,0
blind,kör,,,0
block,engellemek,,,0
blood,kan,,,0
blow,üflemek,,,0
blue,mavi,,,0
board,pano,,,0
boat,bot,,,0
body,vücut,,,0
bomb,bomba,,,0
bombing,bombalama,,,0
bond,bağlamak,,,0
bone,kemik,,,0
boom,patlama,,,0
boot,bot,,,0
border,sınır,,,0
born,doğmak,,,0
borrow,borç almak,,,0
boss,patron,,,0
both,ikisi birden,,,0
bother,rahatsız etmek,,,0
bottle,şişe,,,0
bottom,alt,,,0
boundary,sınır,,,0
bowl,tas,,,0
box,kutu,,,0
boy,erkek çocuk,,,0
boyfriend,erkek arkadaş,,,0
brain,beyin,,,0
branch,dal,,,0
brand,marka,,,0
bread,ekmek,,,0
break,kırmak,,,0
breakfast,kahvaltı,,,0
breast,göğüs,,,0
breath,nefes,,,0
breathe,nefes almak,,,0
brick,tuğla,,,0
bridge,köprü,,,0
brief,kısa bilgi,,,0
briefly,kısaca,,,0
bright,parlak,,,0
brilliant,muhteşem,,,0
bring,getirmek,,,0
British,İngiliz,,,0
broad,geniş,,,0
broken,kırık,,,0
brother,Erkek kardeş,,,0
brown,kahverengi,,,0
brush,fırçalamak,,,0
buck,boks yapmak,,,0
budget,bütçe,,,0
build,inşa etmek,,,0
building,bina,,,0
bullet,mermi,,,0
bunch,demet,,,0
burden,yük,,,0
burn,yakmak,,,0
bury,gömmek,,,0
bus,otobüs,,,0
business,işletme,,,0
busy,Meşgul,,,0
but,Ancak,,,0
butter,tereyağı,,,0
button,düğme,,,0
buy,satın almak,,,0
buyer,alıcı,,,0
by,ile,,,0
cabin,kabin,,,0
cabinet,kabine,,,0
cable,kablo,,,0
cake,kek,,,0
calculate,hesaplamak,,,0
call,Arama,,,0
camera,kamera,,,0
camp,kamp,,,0
campaign,kampanya,,,0
campus,kampüs,,,0
can,olabilmek,,,0
Canadian,Kanadalı,,,0
cancer,kanser,,,0
candidate,aday,,,0
cap,kapak,,,0
capability,kabiliyet,,,0
capable,yetenekli,,,0
capacity,kapasite,,,0
capital,başkent,,,0
captain,kaptan,,,0
capture,esir almak,,,0
car,araba,,,0
carbon,karbon,,,0
card,kart,,,0
care,özen,,,0
career,kariyer,,,0
careful,dikkatli olmak,,,0
carefully,dikkatlice,,,0
carrier,taşıyıcı,,,0
carry,taşımak,,,0
case,dava,,,0
cash,peşin,,,0
cast,döküm,,,0
catch,yakalamak,,,0
category,kategori,,,0
Catholic,Katolik,,,0
cause,neden,,,0
ceiling,tavan,,,0
celebrate,kutlamak,,,0
celebration,kutlama,,,0
celebrity,ünlü,,,0
cell,hücre,,,0
center,merkez,,,0
central,merkezi,,,0
century,yüzyıl,,,0
CEO,CEO,,,0
ceremony,tören,,,0
certain,kesin,,,0
certainly,kesinlikle,,,0
chain,zincir,,,0
chair,sandalye,,,0
chairman,başkan,,,0
challenge,meydan okumak,,,0
chamber,oda,,,0
champion,şampiyon,,,0
championship,şampiyonluk,,,0
chance,şans,,,0
change,değiştirmek,,,0
changing,değişen,,,0
channel,kanal,,,0
chapter,bölüm,,,0
character,karakter,,,0
characteristic,karakteristik,,,0
characterize,karakterize etmek,,,0
charge,şarj,,,0
charity,hayır kurumu,,,0
chart,çizelge,,,0
chase,takip etmek,,,0
cheap,ucuz,,,0
check,kontrol etmek,,,0
cheek,yanak,,,0
cheese,peynir,,,0
chef,şef,,,0
chemical,kimyasal,,,0
chest,göğüs,,,0
chicken,tavuk,,,0
chief,başkanlık,,,0
child,çocuk,,,0
childhood,çocukluk,,,0
Chinese,Çince,,,0
chip,çip,,,0
chocolate,çikolata,,,0
choice,seçenek,,,0
cholesterol,kolesterol,,,0
choose,seçmek,,,0
Christian,Hıristiyan,,,0
Christmas,Noel,,,0
church,kilise,,,0
cigarette,sigara,,,0
circle,daire,,,0
circumstance,durum,,,0
cite,alıntı yapmak,,,0
citizen,vatandaş,,,0
city,şehir,,,0
civil,sivil,,,0
civilian,sivil,,,0
claim,iddia,,,0
class,sınıf,,,0
classic,klasik,,,0
classroom,sınıf,,,0
clean,temiz,,,0
clear,temizlemek,,,0
clearly,açıkça,,,0
client,müşteri,,,0
climate,iklim,,,0
climb,tırmanmak,,,0
clinic,klinik,,,0
clinical,klinik,,,0
clock,saat,,,0
close,kapalı,,,0
closely,yakından,,,0
closer,daha yakın,,,0
clothes,kıyafetler,,,0
clothing,giyim,,,0
cloud,bulut,,,0
club,kulüp,,,0
clue,ipucu,,,0
cluster,küme,,,0
coach,koç,,,0
coal,kömür,,,0
coalition,koalisyon,,,0
coast,sahil,,,0
coat,kaban,,,0
code,kodlamak,,,0
coffee,Kahve,,,0
cognitive,bilişsel,,,0
cold,soğuk,,,0
collapse,yıkılmak,,,0
colleague,iş arkadaşı,,,0
collect,TOPLAMAK,,,0
collection,toplama,,,0
collective,toplu,,,0
college,kolej,,,0
colonial,sömürgeci,,,0
color,renk,,,0
column,kolon,,,0
combination,kombinasyon,,,0
combine,birleştirmek,,,0
come,Gelmek,,,0
comedy,komedi,,,0
comfort,rahatlık,,,0
comfortable,rahat,,,0
command,emretmek,,,0
commander,komutan,,,0
comment,Yorum,,,0
commercial,reklam,,,0
commission,komisyon,,,0
commit,işlemek,,,0
commitment,bağlılık,,,0
committee,komite,,,0
common,yaygın,,,0
communicate,iletişim,,,0
communication,iletişim,,,0
community,toplum,,,0
company,şirket,,,0
compare,karşılaştırmak,,,0
comparison,karşılaştırmak,,,0
compete,rekabet etmek,,,0
competition,yarışma,,,0
competitive,rekabetçi,,,0
competitor,yarışmacı,,,0
complain,şikayet etmek,,,0
complaint,şikayet,,,0
complete,tamamlamak,,,0
completely,tamamen,,,0
complex,karmaşık,,,0
complicated,karmaşık,,,0
component,bileşen,,,0
compose,bestelemek,,,0
composition,kompozisyon,,,0
comprehensive,kapsayıcı,,,0
computer,bilgisayar,,,0
concentrate,konsantre olmak,,,0
concentration,konsantrasyon,,,0
concept,kavram,,,0
concern,kaygı,,,0
concerned,endişeli,,,0
concert,konser,,,0
conclude,sonuçlandırmak,,,0
conclusion,çözüm,,,0
concrete,beton,,,0
condition,durum,,,0
conduct,yönetmek,,,0
conference,konferans,,,0
confidence,kendinden emin,,,0
confident,kendinden emin,,,0
confirm,onaylamak,,,0
conflict,anlaşmazlık,,,0
confront,yüzleşmek,,,0
confusion,"bilinç bulanıklığı, konfüzyon",,,0
Congress,Kongre,,,0
congressional,kongre,,,0
connect,bağlamak,,,0
connection,bağlantı,,,0
consciousness,bilinç,,,0
consensus,fikir birliği,,,0
consequence,sonuçlar,,,0
conservative,tutucu,,,0
consider,dikkate almak,,,0
considerable,hatırı sayılır,,,0
consideration,düşünce,,,0
consist,meydana gelmek,,,0
consistent,tutarlı,,,0
constant,devamlı,,,0
constantly,sürekli,,,0
constitute,oluşturmak,,,0
constitutional,anayasal,,,0
construct,yapmak,,,0
construction,yapı,,,0
consultant,danışman,,,0
consume,tüketmek,,,0
consumer,tüketici,,,0
consumption,tüketim,,,0
contact,temas etmek,,,0
contain,içermek,,,0
container,konteyner,,,0
contemporary,modern,,,0
content,içerik,,,0
contest,yarışma,,,0
context,bağlam,,,0
continue,devam etmek,,,0
continued,devam eden,,,0
contract,sözleşme,,,0
contrast,zıtlık,,,0
contribute,katkı yapmak,,,0
contribution,katkı,,,0
control,kontrol,,,0
controversial,tartışmalı,,,0
controversy,tartışma,,,0
convention,kongre,,,0
conventional,geleneksel,,,0
conversation,konuşma,,,0
convert,dönüştürmek,,,0
conviction,mahkumiyet,,,0
convince,ikna etmek,,,0
cook,aşçı,,,0
cookie,kurabiye,,,0
cooking,yemek pişirmek,,,0
cool,Serin,,,0
cooperation,işbirliği,,,0
cop,polis,,,0
cope,başa çıkmak,,,0
copy,kopya,,,0
core,çekirdek,,,0
corn,Mısır,,,0
corner,köşe,,,0
corporate,kurumsal,,,0
corporation,şirket,,,0
correct,doğru,,,0
correspondent,muhabir,,,0
cost,maliyet,,,0
cotton,pamuk,,,0
couch,kanepe,,,0
could,olabilir,,,0
council,konsey,,,0
counselor,danışman,,,0
count,saymak,,,0
counter,tezgah,,,0
country,ülke,,,0
county,kontluk,,,0
couple,çift,,,0
courage,cesaret,,,0
course,kurs,,,0
court,mahkeme,,,0
cousin,kuzen,,,0
cover,kapak,,,0
coverage,kapsama alanı,,,0
cow,inek,,,0
crack,çatırtı,,,0
craft,zanaat,,,0
crash,kaza,,,0
crazy,deli,,,0
cream,krema,,,0
create,yaratmak,,,0
creation,yaratma,,,0
creative,yaratıcı,,,0
creature,yaratık,,,0
credit,kredi,,,0
crew,mürettebat,,,0
crime,suç,,,0
criminal,suçlu,,,0
crisis,kriz,,,0
criteria,kriterler,,,0
critic,eleştirmen,,,0
critical,eleştirel,,,0
criticism,eleştiri,,,0
criticize,eleştirmek,,,0
crop,mahsul,,,0
cross,geçmek,,,0
crowd,kalabalık,,,0
crucial,hayati,,,0
cry,ağlamak,,,0
cultural,kültürel,,,0
culture,kültür,,,0
cup,bardak,,,0
curious,meraklı,,,0
current,akım,,,0
currently,şu anda,,,0
curriculum,müfredat,,,0
custom,gelenek,,,0
customer,müşteri,,,0
cut,kesmek,,,0
cycle,döngü,,,0
dad,baba,,,0
daily,günlük,,,0
damage,zarar,,,0
dance,dans,,,0
danger,tehlike,,,0
dangerous,tehlikeli,,,0
dare,cesaret,,,0
dark,karanlık,,,0
darkness,karanlık,,,0
data,veri,,,0
date,tarih,,,0
daughter,kız çocuğu,,,0
day,gün,,,0
dead,ölü,,,0
deal,anlaşmak,,,0
dealer,satıcı,,,0
dear,Sayın,,,0
death,ölüm,,,0
debate,çekişme,,,0
debt,borç,,,0
decade,on yıl,,,0
decide,karar vermek,,,0
decision,karar,,,0
deck,güverte,,,0
declare,ilan etmek,,,0
decline,reddetmek,,,0
decrease,azaltmak,,,0
deep,derin,,,0
deeply,derinlemesine,,,0
deer,geyik,,,0
defeat,yenmek,,,0
defend,savunmak,,,0
defendant,sanık,,,0
defense,savunma,,,0
defensive,savunmacı,,,0
deficit,açıklık,,,0
define,tanımlamak,,,0
definitely,kesinlikle,,,0
definition,tanım,,,0
degree,derece,,,0
delay,gecikme,,,0
deliver,teslim etmek,,,0
delivery,teslimat,,,0
demand,talep etmek,,,0
democracy,demokrasi,,,0
Democrat,Demokrat,,,0
democratic,demokratik,,,0
demonstrate,göstermek,,,0
demonstration,gösteri,,,0
deny,reddetmek,,,0
department,departman,,,0
depend,bağlı olmak,,,0
dependent,bağımlı,,,0
depending,bağlı,,,0
depict,tasvir etmek,,,0
depression,depresyon,,,0
depth,derinlik,,,0
deputy,milletvekili,,,0
derive,türetmek,,,0
describe,betimlemek,,,0
description,Tanım,,,0
desert,çöl,,,0
deserve,hak etmek,,,0
design,tasarım,,,0
designer,tasarımcı,,,0
desire,arzu,,,0
desk,çalışma masası,,,0
desperate,çaresiz,,,0
despite,aksine,,,0
destroy,tahrip etmek,,,0
destruction,yıkım,,,0
detail,detay,,,0
detailed,ayrıntılı,,,0
detect,tespit etmek,,,0
determine,belirlemek,,,0
develop,geliştirmek,,,0
developing,gelişen,,,0
development,gelişim,,,0
device,cihaz,,,0
devote,adamak,,,0
dialogue,diyalog,,,0
die,ölmek,,,0
diet,diyet,,,0
differ,farketmek,,,0
difference,fark,,,0
different,farklı,,,0
differently,farklı,,,0
difficult,zor,,,0
difficulty,zorluk,,,0
dig,kazmak,,,0
digital,dijital,,,0
dimension,boyut,,,0
dining,yemek,,,0
dinner,akşam yemeği,,,0
direct,yönlendirmek,,,0
direction,yön,,,0
directly,doğrudan,,,0
director,müdür,,,0
dirt,kir,,,0
dirty,kirli,,,0
disability,sakatlık,,,0
disagree,aynı fikirde olmamak,,,0
disappear,yok olmak,,,0
disaster,felaket,,,0
discipline,disiplin,,,0
discourse,söylem,,,0
discover,keşfetmek,,,0
discovery,keşif,,,0
discrimination,ayrımcılık,,,0
discuss,tartışmak,,,0
discussion,tartışma,,,0
disease,hastalık,,,0
dish,tabak,,,0
dismiss,azletmek,,,0
disorder,düzensizlik,,,0
display,görüntülemek,,,0
dispute,anlaşmazlık,,,0
distance,mesafe,,,0
distant,mesafe,,,0
distinct,belirgin,,,0
distinction,ayrım,,,0
distinguish,ayırt etmek,,,0
distribute,dağıtmak,,,0
distribution,dağıtım,,,0
district,semt,,,0
diverse,türlü,,,0
diversity,çeşitlilik,,,0
divide,bölmek,,,0
division,bölüm,,,0
divorce,boşanmak,,,0
DNA,DNA,,,0
do,Yapmak,,,0
doctor,doktor,,,0
document,belge,,,0
domestic,yerel,,,0
dominant,baskın,,,0
dominate,hakim olmak,,,0
door,kapı,,,0
double,çift,,,0
doubt,şüphe,,,0
down,aşağı,,,0
downtown,şehir merkezi,,,0
dozen,düzine,,,0
draft,taslak,,,0
drag,sürüklemek,,,0
drama,drama,,,0
dramatic,dramatik,,,0
dramatically,dramatik bir şekilde,,,0
draw,çizmek,,,0
drawing,çizim,,,0
dream,rüya,,,0
dress,elbise,,,0
drink,içmek,,,0
drive,sürmek,,,0
driver,sürücü,,,0
drop,düşürmek,,,0
drug,ilaç,,,0
dry,kuru,,,0
due,vadesi dolmuş,,,0
during,sırasında,,,0
dust,toz,,,0
duty,görev,,,0
each,her biri,,,0
eager,istekli,,,0
ear,kulak,,,0
early,erken,,,0
earn,para kazanmak,,,0
earnings,kazanç,,,0
earth,toprak,,,0
ease,kolaylaştırmak,,,0
easily,kolayca,,,0
east,doğu,,,0
eastern,doğu,,,0
easy,kolay,,,0
eat,yemek yemek,,,0
economic,ekonomik,,,0
economics,ekonomi,,,0
economist,iktisatçı,,,0
economy,ekonomi,,,0
edge,kenar,,,0
edition,baskı,,,0
editor,editör,,,0
educate,eğitmek,,,0
education,eğitim,,,0
educational,eğitici,,,0
educator,eğitimci,,,0
effect,etki,,,0
effective,etkili,,,0
effectively,etkili bir şekilde,,,0
efficiency,yeterlik,,,0
efficient,verimli,,,0
effort,çaba,,,0
egg,yumurta,,,0
eight,sekiz,,,0
either,herhangi biri,,,0
elderly,yaşlı,,,0
elect,seçmek,,,0
election,seçim,,,0
electric,elektrikli,,,0
electricity,elektrik,,,0
electronic,elektronik,,,0
element,eleman,,,0
elementary,temel,,,0
eliminate,elemek,,,0
elite,seçkin,,,0
else,başka,,,0
elsewhere,başka yerlerde,,,0
e-mail,e-posta,,,0
embrace,kucaklamak,,,0
emerge,meydana gelmek,,,0
emergency,acil durum,,,0
emission,emisyon,,,0
emotion,duygu,,,0
emotional,duygusal,,,0
emphasis,vurgu,,,0
emphasize,vurgu,,,0
employ,kullanmak,,,0
employee,çalışan,,,0
employer,iş veren,,,0
employment,istihdam,,,0
empty,boş,,,0
enable,olanak vermek,,,0
encounter,rastlamak,,,0
encourage,cesaretlendirmek,,,0
end,son,,,0
enemy,düşman,,,0
energy,enerji,,,0
enforcement,uygulama,,,0
engage,angaje etmek,,,0
engine,motor,,,0
engineer,mühendis,,,0
engineering,mühendislik,,,0
English,İngilizce,,,0
enhance,genişletmek,,,0
enjoy,Eğlence,,,0
enormous,kocaman,,,0
enough,yeterli,,,0
ensure,emin olmak,,,0
enter,girmek,,,0
enterprise,girişim,,,0
entertainment,eğlence,,,0
entire,bütün,,,0
entirely,tamamen,,,0
entrance,giriş,,,0
entry,giriş,,,0
environment,çevre,,,0
environmental,çevre,,,0
episode,bölüm,,,0
equal,eşit,,,0
equally,eşit derecede,,,0
equipment,teçhizat,,,0
era,dönem,,,0
error,hata,,,0
escape,kaçmak,,,0
especially,özellikle,,,0
essay,makale,,,0
essential,gerekli,,,0
essentially,esasen,,,0
establish,kurmak,,,0
establishment,kuruluş,,,0
estate,emlak,,,0
estimate,tahmin etmek,,,0
etc,vesaire,,,0
ethics,etik,,,0
ethnic,etnik,,,0
European,Avrupa,,,0
evaluate,değerlendirmek,,,0
evaluation,değerlendirme,,,0
even,eşit,,,0
evening,akşam,,,0
event,etkinlik,,,0
eventually,sonunda,,,0
ever,durmadan,,,0
every,Her,,,0
everybody,herkes,,,0
everyday,Her gün,,,0
everyone,herkes,,,0
everything,her şey,,,0
everywhere,her yer,,,0
evidence,kanıt,,,0
evolution,evrim,,,0
evolve,evrim geçirmek,,,0
exact,bire bir aynı,,,0
exactly,Kesinlikle,,,0
examination,muayene,,,0
examine,incelemek,,,0
example,örnek,,,0
exceed,aşmak,,,0
excellent,harika,,,0
except,hariç,,,0
exception,istisna,,,0
exchange,değişme,,,0
exciting,heyecan verici,,,0
executive,yönetici,,,0
exercise,egzersiz yapmak,,,0
exhibit,sergilemek,,,0
exhibition,sergi,,,0
exist,var olmak,,,0
existence,varoluş,,,0
existing,mevcut,,,0
expand,genişletmek,,,0
expansion,genleşme,,,0
expect,beklemek,,,0
expectation,beklenti,,,0
expense,masraf,,,0
expensive,masraflı,,,0
experience,deneyim,,,0
experiment,deney,,,0
expert,uzman,,,0
explain,açıklamak,,,0
explanation,açıklama,,,0
explode,patlamak,,,0
explore,keşfetmek,,,0
explosion,patlama,,,0
expose,ortaya çıkarmak,,,0
exposure,maruziyet,,,0
express,ifade etmek,,,0
expression,ifade,,,0
extend,uzatmak,,,0
extension,eklenti,,,0
extensive,yaygın,,,0
extent,kapsam,,,0
external,harici,ikst-ernel,,0
extra,ekstra,,,0
extraordinary,olağanüstü,,,0
extreme,aşırı,,,0
extremely,aşırı boyutta,,,0
eye,göz,,,0
